id,name,age,salary,address,gender,country
82,Reagan,54.0,46980.0,Suite 90,M,Germany
75,Vinnie,26.0,69728.0,Room 303,F,Canada
39,Tuckie,20.0,12859.0,Apt 414,M,UK
16,Alfredo,56.0,59251.0,Suite 82,M,Canada
83,Berri,68.0,15231.0,15th Floor,F,
97,Ermengarde,48.0,11452.0,PO Box 43456,F,Germany
1,Jessamyn,41.0,9700.0,Apt 1265,F,USA
51,Ebenezer,56.0,56642.0,Room 913,M,UK
90,Frederic,60.0,55384.0,PO Box 21943,M,UK
48,Rochelle,49.0,50094.0,Room 92,F,UK
10,Annabell,61.0,23832.0,PO Box 14554,F,Germany
12,Marion,40.0,55370.0,Room 1356,M,
65,Hendrika,69.0,6711.0,Suite 42,F,Canada
94,Adolphe,21.0,21401.0,Suite 58,M,
36,Fidelity,61.0,29092.0,Suite 37,F,India
73,Hayley,65.0,18331.0,Apt 425,F,USA
71,Clemmie,30.0,44182.0,6th Floor,M,Canada
93,Berny,65.0,24862.0,PO Box 93952,M,USA
8,Maddalena,33.0,41007.0,PO Box 38131,F,India
57,Lothaire,39.0,27217.0,Room 1021,M,USA
17,Vinny,36.0,23952.0,Room 615,F,India
13,Cesar,52.0,4169.0,Suite 55,M,Germany
99,Yorgo,64.0,51783.0,Apt 380,M,Germany
3,Deena,26.0,34040.0,Suite 47,F,USA
47,Avril,51.0,16353.0,Suite 37,F,USA
