id,name,age,salary,address,gender,country
62,Tymothy,41.0,43819.0,Suite 61,M,UK
27,Sean,27.0,56958.0,Room 1757,M,USA
68,Dolly,46.0,57604.0,17th Floor,F,Germany
88,Jack,48.0,47609.0,PO Box 19255,M,Canada
11,Newton,53.0,51172.0,Room 362,M,UK
42,Eldredge,36.0,7456.0,Suite 66,M,
1,Jessamyn,41.0,9700.0,Apt 1265,F,USA
21,Stillmann,30.0,47529.0,PO Box 41860,M,UK
91,Ira,38.0,69168.0,Apt 632,M,Germany
43,Esmeralda,,62500.0,Apt 580,F,UK
50,Hanni,25.0,47748.0,Room 1123,F,India
54,Basilius,44.0,48885.0,PO Box 59288,M,USA
72,Halli,63.0,14345.0,Room 272,F,UK
95,Daven,48.0,40298.0,Suite 5,M,
53,Teddy,50.0,48002.0,PO Box 23400,M,Canada
76,Susi,57.0,29601.0,Apt 1389,F,Germany
64,Angil,29.0,45389.0,PO Box 61891,F,UK
37,Rikki,59.0,10238.0,Suite 73,F,Canada
41,Daisy,42.0,2781.0,Suite 50,F,Germany
38,Freida,53.0,46014.0,Apt 864,F,India
35,Stanleigh,68.0,20776.0,15th Floor,M,Canada
56,Lucretia,66.0,61953.0,Suite 15,F,Canada
29,Hedwiga,66.0,47232.0,Room 954,F,India
80,Sylvester,49.0,39207.0,17th Floor,M,USA
25,Son,34.0,53860.0,16th Floor,M,Germany
40,Pauletta,35.0,52163.0,16th Floor,F,Germany
